run_id,correct,incorrect
1,135,53
2,146,57
3,132,65
4,128,60
5,135,66
6,129,62
7,140,47
8,126,69
9,144,46
10,130,63
11,136,54
12,133,60
13,128,64
14,133,57
15,146,53
16,132,61
17,136,67
18,129,64
19,129,52
20,146,51
21,139,55
22,136,57
23,125,71
24,149,50
25,128,50
26,143,55
27,131,58
28,141,62
29,140,59
30,126,60
31,134,58
32,125,71
33,138,58
34,123,67
35,126,65
36,129,59
37,117,72
38,129,68
39,145,55
40,126,60
41,152,54
42,136,56
43,141,51
44,133,62
45,137,55
46,132,58
47,130,68
48,140,59
49,141,62
50,129,64
51,127,63
52,136,62
53,152,44
54,118,67
55,143,51
56,132,49
57,124,61
58,128,66
59,126,62
60,137,55
61,137,63
62,138,60
63,124,69
64,129,62
65,135,57
66,138,54
67,129,64
68,140,61
69,134,60
70,127,58
71,131,59
72,139,61
73,124,60
74,133,66
75,147,47
76,123,60
77,138,54
78,139,65
79,143,48
80,136,59
81,137,66
82,134,63
83,136,56
84,145,62
85,126,61
86,147,49
87,138,63
88,131,64
89,127,62
90,136,56
91,141,62
92,137,63
93,147,62
94,127,58
95,143,62
96,134,60
97,141,54
98,137,54
99,131,56
100,125,63
