run_id,correct,incorrect
1,35,24
2,39,20
3,25,31
4,37,24
5,33,26
6,31,35
7,43,26
8,38,23
9,38,23
10,30,28
11,33,25
12,36,30
13,36,30
14,34,26
15,42,25
16,40,28
17,23,34
18,38,25
19,38,26
20,30,29
21,36,27
22,45,20
23,29,32
24,39,28
25,35,28
26,27,33
27,45,24
28,37,20
29,34,27
30,35,25
31,34,31
32,35,34
33,38,25
34,35,28
35,41,23
36,33,20
37,34,26
38,33,32
39,33,30
40,32,31
41,30,26
42,30,31
43,33,26
44,40,25
45,36,22
46,38,28
47,31,29
48,31,30
49,36,27
50,29,29
51,35,29
52,35,25
53,37,25
54,34,26
55,23,37
56,31,32
57,41,29
58,35,29
59,27,31
60,32,28
61,38,22
62,33,29
63,35,30
64,36,28
65,36,25
66,44,24
67,43,21
68,39,29
69,38,28
70,38,25
71,31,27
72,47,25
73,36,33
74,36,29
75,35,27
76,35,26
77,33,28
78,40,18
79,36,24
80,36,25
81,31,32
82,31,25
83,33,32
84,41,28
85,31,27
86,27,33
87,32,30
88,34,28
89,36,27
90,38,23
91,39,24
92,30,30
93,30,30
94,46,22
95,33,23
96,35,27
97,39,24
98,40,26
99,39,24
100,29,33
