run_id,correct,incorrect
1,24,31
2,32,23
3,33,24
4,26,29
5,30,25
6,31,25
7,36,26
8,39,21
9,37,23
10,32,22
11,27,30
12,30,25
13,31,27
14,31,28
15,31,26
16,33,22
17,32,27
18,23,32
19,32,22
20,34,22
21,35,26
22,26,28
23,32,26
24,35,26
25,27,26
26,27,29
27,28,29
28,34,22
29,24,30
30,33,31
31,32,23
32,31,23
33,30,23
34,28,27
35,35,25
36,27,27
37,34,26
38,29,29
39,28,29
40,26,25
41,32,26
42,24,34
43,31,25
44,28,22
45,32,28
46,33,26
47,31,28
48,28,22
49,29,26
50,29,25
51,27,26
52,40,21
53,21,34
54,34,25
55,33,21
56,33,27
57,26,28
58,32,24
59,34,20
60,32,25
61,22,29
62,33,25
63,36,22
64,35,22
65,33,21
66,31,23
67,31,24
68,25,31
69,33,27
70,34,28
71,36,24
72,27,27
73,32,23
74,28,34
75,32,26
76,29,31
77,31,26
78,28,30
79,28,24
80,40,23
81,35,29
82,32,25
83,30,28
84,27,27
85,24,30
86,36,23
87,30,23
88,26,31
89,35,25
90,37,22
91,27,28
92,34,22
93,32,32
94,28,28
95,32,27
96,25,28
97,33,23
98,31,23
99,30,24
100,29,23
