run_id,correct,incorrect,accuracy,,max,0.805970149
1,41,24,0.630769231,,min,0.566666667
2,46,24,0.657142857,,average,0.68067973
3,38,25,0.603174603,,median,0.682178932
4,41,19,0.683333333,,std,0.047724476
5,44,18,0.709677419,,step,0.023930348
6,49,23,0.680555556,,,
7,49,20,0.710144928,,Range,Count
8,45,21,0.681818182,,0.566666667,3
9,38,22,0.633333333,,0.590597015,7
10,46,20,0.696969697,,0.614527363,9
11,44,22,0.666666667,,0.638457711,11
12,44,21,0.676923077,,0.66238806,23
13,49,21,0.7,,0.686318408,25
14,41,25,0.621212121,,0.710248756,9
15,48,24,0.666666667,,0.734179104,8
16,43,19,0.693548387,,0.758109453,3
17,41,28,0.594202899,,0.782039801,1
18,45,25,0.642857143,,0.805970149,0
19,37,23,0.616666667,,,
20,43,27,0.614285714,,,
21,54,13,0.805970149,,,
22,41,27,0.602941176,,0.566666667,[0.57;0.59]
23,53,19,0.736111111,,0.590597015,[0.59;0.61]
24,46,21,0.686567164,,0.614527363,[0.61;0.64]
25,42,22,0.65625,,0.638457711,[0.64;0.66]
26,44,21,0.676923077,,0.66238806,[0.66;0.69]
27,49,15,0.765625,,0.686318408,[0.69;0.71]
28,44,21,0.676923077,,0.710248756,[0.71;0.73]
29,43,19,0.693548387,,0.734179104,[0.73;0.76]
30,48,16,0.75,,0.758109453,[0.76;0.78]
31,43,26,0.623188406,,0.782039801,[0.78;0.81]
32,42,27,0.608695652,,0.805970149,[0.81;0]
33,47,21,0.691176471,,,
34,43,18,0.704918033,,,
35,50,22,0.694444444,,,
36,42,19,0.68852459,,,
37,43,20,0.682539683,,,
38,49,18,0.731343284,,,
39,38,27,0.584615385,,,
40,54,14,0.794117647,,,
41,43,19,0.693548387,,,
42,42,21,0.666666667,,,
43,50,16,0.757575758,,,
44,44,19,0.698412698,,,
45,43,21,0.671875,,,
46,43,24,0.641791045,,,
47,45,20,0.692307692,,,
48,43,25,0.632352941,,,
49,50,14,0.78125,,,
50,47,18,0.723076923,,,
51,49,19,0.720588235,,,
52,41,20,0.672131148,,,
53,40,27,0.597014925,,,
54,49,24,0.671232877,,,
55,47,15,0.758064516,,,
56,41,20,0.672131148,,,
57,43,19,0.693548387,,,
58,41,27,0.602941176,,,
59,51,17,0.75,,,
60,39,28,0.582089552,,,
61,51,22,0.698630137,,,
62,43,22,0.661538462,,,
63,49,20,0.710144928,,,
64,44,22,0.666666667,,,
65,50,22,0.694444444,,,
66,48,23,0.676056338,,,
67,42,21,0.666666667,,,
68,45,23,0.661764706,,,
69,50,20,0.714285714,,,
70,55,17,0.763888889,,,
71,45,20,0.692307692,,,
72,44,20,0.6875,,,
73,51,19,0.728571429,,,
74,34,26,0.566666667,,,
75,39,21,0.65,,,
76,43,21,0.671875,,,
77,36,20,0.642857143,,,
78,41,19,0.683333333,,,
79,45,19,0.703125,,,
80,52,23,0.693333333,,,
81,38,22,0.633333333,,,
82,44,21,0.676923077,,,
83,47,17,0.734375,,,
84,43,15,0.74137931,,,
85,42,20,0.677419355,,,
86,43,15,0.74137931,,,
87,44,19,0.698412698,,,
88,43,16,0.728813559,,,
89,47,18,0.723076923,,,
90,47,20,0.701492537,,,
91,44,19,0.698412698,,,
92,44,26,0.628571429,,,
93,46,17,0.73015873,,,
94,41,25,0.621212121,,,
95,42,21,0.666666667,,,
96,42,21,0.666666667,,,
97,47,19,0.712121212,,,
98,41,22,0.650793651,,,
99,39,22,0.639344262,,,
100,41,22,0.650793651,,,
