run_id,correct,incorrect
1,41,24
2,46,24
3,38,25
4,41,19
5,44,18
6,49,23
7,49,20
8,45,21
9,38,22
10,46,20
11,44,22
12,44,21
13,49,21
14,41,25
15,48,24
16,43,19
17,41,28
18,45,25
19,37,23
20,43,27
21,54,13
22,41,27
23,53,19
24,46,21
25,42,22
26,44,21
27,49,15
28,44,21
29,43,19
30,48,16
31,43,26
32,42,27
33,47,21
34,43,18
35,50,22
36,42,19
37,43,20
38,49,18
39,38,27
40,54,14
41,43,19
42,42,21
43,50,16
44,44,19
45,43,21
46,43,24
47,45,20
48,43,25
49,50,14
50,47,18
51,49,19
52,41,20
53,40,27
54,49,24
55,47,15
56,41,20
57,43,19
58,41,27
59,51,17
60,39,28
61,51,22
62,43,22
63,49,20
64,44,22
65,50,22
66,48,23
67,42,21
68,45,23
69,50,20
70,55,17
71,45,20
72,44,20
73,51,19
74,34,26
75,39,21
76,43,21
77,36,20
78,41,19
79,45,19
80,52,23
81,38,22
82,44,21
83,47,17
84,43,15
85,42,20
86,43,15
87,44,19
88,43,16
89,47,18
90,47,20
91,44,19
92,44,26
93,46,17
94,41,25
95,42,21
96,42,21
97,47,19
98,41,22
99,39,22
100,41,22
