run_id,correct,incorrect
1,138,57
2,148,47
3,148,48
4,142,52
5,129,50
6,140,52
7,149,49
8,143,49
9,145,54
10,145,49
11,143,52
12,131,59
13,147,41
14,145,52
15,162,47
16,146,53
17,145,46
18,133,59
19,141,51
20,142,52
21,145,50
22,140,55
23,139,52
24,142,46
25,158,41
26,141,52
27,142,49
28,134,51
29,133,55
30,144,46
31,143,53
32,142,51
33,138,56
34,135,59
35,141,55
36,142,53
37,136,53
38,145,54
39,146,41
40,139,47
41,142,59
42,157,47
43,149,50
44,134,62
45,141,54
46,142,52
47,145,50
48,141,53
49,140,61
50,138,54
51,145,36
52,142,50
53,150,49
54,125,65
55,135,55
56,127,57
57,130,65
58,141,47
59,141,56
60,147,47
61,145,46
62,134,56
63,138,52
64,134,62
65,136,53
66,144,56
67,139,57
68,142,51
69,143,50
70,134,52
71,146,41
72,138,55
73,121,62
74,138,49
75,134,58
76,137,54
77,141,44
78,140,55
79,132,58
80,135,67
81,143,52
82,138,52
83,143,52
84,142,47
85,146,53
86,151,50
87,134,51
88,144,52
89,135,57
90,157,46
91,138,47
92,138,59
93,139,51
94,145,53
95,151,51
96,141,50
97,148,56
98,138,52
99,138,56
100,148,51
101,146,46
102,142,51
103,141,59
104,136,51
105,149,45
106,141,48
107,135,61
108,130,56
109,140,51
110,144,55
111,131,56
112,131,58
113,141,58
114,140,51
115,150,48
116,132,59
117,136,56
118,138,66
119,139,66
120,131,60
121,138,55
122,133,54
123,126,66
124,158,51
125,132,59
126,143,48
127,140,48
128,146,51
129,145,48
130,135,57
131,142,50
132,133,49
133,142,52
134,144,55
135,160,45
136,143,57
137,149,46
138,139,55
139,141,49
140,134,51
141,153,50
142,137,52
143,137,52
144,136,58
145,144,59
146,150,44
147,155,44
148,148,58
149,149,49
150,142,56
151,138,56
152,145,52
153,143,46
154,142,51
155,148,49
156,131,62
157,146,55
158,149,52
159,148,51
160,156,40
161,141,47
162,151,44
163,139,55
164,141,51
165,139,55
166,150,52
167,136,53
168,141,51
169,145,53
170,151,46
171,138,52
172,142,47
173,137,55
174,152,53
175,158,42
176,129,62
177,133,60
178,143,58
179,159,46
180,124,64
181,145,57
182,141,47
183,137,54
184,143,47
185,141,59
186,149,50
187,131,55
188,158,40
189,144,48
190,136,56
191,148,49
192,149,50
193,144,51
194,142,49
195,131,49
196,138,51
197,137,54
198,146,53
199,145,47
200,133,57
