run_id,correct,incorrect
1,146,50
2,149,45
3,138,50
4,150,40
5,147,46
6,148,50
7,143,51
8,144,52
9,152,43
10,148,44
11,150,51
12,135,56
13,147,50
14,139,48
15,149,49
16,133,59
17,158,42
18,143,58
19,140,48
20,148,44
21,156,51
22,156,46
23,151,40
24,136,49
25,136,44
26,152,47
27,142,52
28,149,44
29,152,49
30,155,48
31,148,47
32,144,47
33,148,52
34,145,48
35,152,40
36,137,55
37,150,43
38,154,41
39,151,43
40,145,50
41,139,51
42,146,47
43,148,43
44,152,51
45,147,48
46,143,47
47,143,47
48,144,48
49,153,44
50,135,47
51,143,54
52,141,53
53,147,45
54,141,47
55,143,53
56,158,39
57,145,55
58,128,58
59,145,47
60,140,47
61,148,46
62,158,43
63,138,55
64,140,49
65,134,63
66,141,46
67,144,42
68,156,50
69,142,49
70,148,44
71,130,58
72,153,40
73,146,52
74,148,45
75,141,46
76,154,41
77,149,45
78,138,53
79,148,45
80,148,53
81,148,38
82,158,49
83,141,49
84,146,55
85,133,61
86,147,46
87,147,50
88,137,55
89,151,45
90,157,44
91,142,50
92,140,53
93,139,51
94,144,50
95,153,42
96,147,44
97,154,46
98,147,47
99,140,51
100,147,50
101,143,48
102,156,44
103,140,44
104,149,47
105,156,46
106,155,44
107,146,52
108,126,60
109,145,54
110,143,48
111,149,47
112,143,50
113,145,44
114,158,45
115,155,44
116,141,50
117,142,45
118,146,40
119,141,45
120,157,39
121,141,46
122,145,51
123,151,43
124,154,48
125,164,36
126,142,44
127,134,49
128,157,45
129,150,48
130,158,36
131,138,51
132,149,33
133,146,44
134,146,52
135,140,59
136,141,55
137,152,47
138,142,50
139,154,51
140,147,46
141,138,51
142,141,55
143,135,50
144,156,44
145,144,49
146,151,38
147,119,65
148,142,52
149,144,49
150,156,43
151,137,46
152,151,49
153,152,46
154,147,47
155,150,55
156,140,55
157,152,46
158,145,50
159,152,51
160,143,60
161,139,50
162,154,41
163,153,47
164,132,51
165,148,51
166,155,40
167,142,50
168,150,44
169,143,58
170,147,46
171,144,46
172,142,50
173,143,42
174,151,50
175,147,43
176,147,41
177,149,47
178,155,37
179,148,47
180,149,45
181,157,41
182,153,41
183,138,47
184,135,52
185,131,50
186,155,44
187,144,52
188,146,45
189,130,59
190,150,46
191,134,53
192,139,52
193,152,38
194,139,58
195,141,51
196,140,54
197,144,45
198,139,53
199,152,47
200,141,45
