run_id,correct,incorrect
1,147,46
2,141,55
3,156,52
4,146,51
5,153,56
6,143,47
7,145,49
8,131,59
9,137,54
10,136,50
11,145,52
12,137,49
13,124,60
14,145,59
15,141,50
16,139,54
17,140,56
18,141,51
19,153,44
20,139,50
21,148,56
22,146,57
23,143,55
24,150,48
25,157,45
26,140,48
27,141,51
28,142,56
29,139,50
30,129,59
31,145,48
32,131,54
33,144,58
34,135,52
35,134,57
36,145,45
37,133,58
38,142,55
39,139,56
40,143,53
41,150,42
42,132,62
43,146,57
44,144,55
45,147,52
46,138,55
47,144,55
48,132,54
49,143,53
50,140,50
51,137,58
52,140,56
53,146,53
54,140,47
55,128,61
56,134,55
57,134,63
58,147,48
59,145,51
60,129,51
61,145,56
62,147,53
63,130,60
64,150,41
65,136,49
66,145,50
67,142,50
68,150,58
69,145,51
70,148,47
71,148,53
72,149,40
73,139,54
74,135,59
75,141,45
76,149,52
77,151,37
78,143,52
79,135,61
80,147,40
81,145,51
82,139,55
83,138,57
84,158,37
85,142,53
86,137,53
87,137,51
88,133,49
89,137,54
90,134,62
91,161,54
92,141,56
93,124,60
94,136,58
95,134,57
96,138,50
97,148,49
98,143,57
99,148,50
100,134,60
101,130,58
102,157,46
103,135,62
104,142,46
105,146,55
106,139,52
107,136,51
108,135,60
109,144,46
110,137,56
111,144,46
112,134,59
113,134,58
114,141,49
115,143,56
116,141,52
117,147,56
118,142,51
119,137,44
120,140,57
121,136,58
122,122,71
123,144,52
124,156,43
125,135,43
126,145,53
127,137,52
128,153,50
129,145,54
130,131,55
131,145,47
132,132,64
133,153,43
134,134,56
135,138,53
136,143,45
137,132,57
138,142,55
139,151,49
140,130,56
141,159,47
142,137,55
143,149,43
144,136,59
145,134,58
146,144,46
147,145,53
148,147,52
149,137,66
150,132,61
151,146,44
152,138,60
153,147,49
154,125,60
155,142,52
156,131,50
157,140,45
158,134,60
159,126,62
160,140,52
161,143,57
162,129,69
163,137,56
164,134,57
165,145,47
166,145,47
167,135,58
168,148,53
169,139,55
170,136,49
171,133,57
172,143,57
173,123,61
174,144,55
175,152,42
176,128,55
177,135,57
178,148,56
179,138,53
180,147,48
181,140,63
182,143,54
183,139,53
184,156,51
185,143,44
186,144,52
187,147,54
188,137,58
189,128,61
190,140,52
191,148,55
192,150,50
193,153,56
194,134,51
195,140,65
196,137,57
197,148,47
198,137,54
199,139,48
200,143,45
